Category,Parameter,Male Range,Female Range,Child Range,Neonate Range,SI Unit,Conventional Unit,Interpretation
Coagulation,Activated partial thromboplastin time (aPTT),25–40 sec,25–40 sec,25–40 sec,25–40 sec,sec,25–40 sec,"Low: hypercoagulability; Causes: clotting disorders; Risk: thrombosis. High: bleeding tendency; Causes: liver disease, heparin therapy; Symptoms: bruising, nosebleeds; Risk: hemorrhage."
Protein,Albumin (serum),35–50 g/L,35–50 g/L,35–50 g/L,,g/L,3.5–5.0 g/dL,"Low: swelling (edema), fatigue; Causes: malnutrition, liver disease, kidney loss; Risk: severe edema, poor healing. High: dehydration."
Enzyme,Amylase (serum),25–125 IU/L,25–125 IU/L,25–125 IU/L,,IU/L,25–125 U/L,"Low: pancreatic insufficiency; High: pancreatitis, gallstones; Symptoms: abdominal pain; Risk: pancreatic damage."
Electrolytes,Bicarbonate (HCO3),23–29 mmol/L,23–29 mmol/L,23–29 mmol/L,,mmol/L,23–29 mEq/L,"Low: metabolic acidosis; Symptoms: rapid breathing, confusion; Causes: kidney failure, diarrhea. High: metabolic alkalosis; Causes: vomiting, diuretics; Symptoms: slow breathing."
Liver,Bilirubin (conjugated),0–10 µmol/L,0–10 µmol/L,0–10 µmol/L,0–10 µmol/L,µmol/L,0–0.6 mg/dL,"High: obstructive jaundice; Causes: gallstones, liver obstruction; Symptoms: yellow skin/eyes; Risk: bile duct blockage."
Liver,Bilirubin (total),1.7–10 µmol/L,1.7–10 µmol/L,1.7–10 µmol/L,1.7–10 µmol/L,µmol/L,0.1–0.5 mg/dL,"High: jaundice; Causes: hepatitis, hemolysis; Symptoms: yellowing, dark urine; Risk: liver failure."
Coagulation,Bleeding time (Ivy),<5 min,<5 min,<5 min,<5 min,min,<5 min,"High: platelet dysfunction; Causes: aspirin, clotting disorders; Symptoms: easy bruising; Risk: bleeding. Low: clinically insignificant."
Minerals,Calcium (total),2.10–2.50 mmol/L,2.10–2.50 mmol/L,2.10–2.50 mmol/L,,mmol/L,8.4–10.6 mg/dL,"Low: tingling, cramps; Causes: vitamin D deficiency; Risk: seizures. High: kidney stones, bone pain; Causes: hyperparathyroidism."
Minerals,Calcium (ionized),1.15–1.35 mmol/L,1.15–1.35 mmol/L,,,mmol/L,4.6–5.1 mg/dL,"Low: muscle spasms; High: weakness; Risk: arrhythmias."
Tumor Marker,CEA,<3.0 µg/L,<3.0 µg/L,<3.0 µg/L,<3.0 µg/L,µg/L,<3.0 ng/mL,"High: possible cancer marker; Causes: colon cancer, smoking; Interpretation depends on trend."
Blood Gas,CO2 (total),22–29 mmol/L,22–29 mmol/L,22–29 mmol/L,,mmol/L,22–29 mEq/L,"Low: acidosis; High: alkalosis; Both cause breathing abnormalities."
Electrolytes,Chloride (serum),96–106 mmol/L,96–106 mmol/L,96–106 mmol/L,,mmol/L,96–106 mEq/L,"Low: dehydration, vomiting; High: kidney problems, salt excess."
Electrolytes,Chloride (urine),110–250 mmol/day,110–250 mmol/day,110–250 mmol/day,,mmol/day,110–250 mEq/24h,"Low: dehydration; High: excessive salt intake."
Lipids,Cholesterol (serum),<5.2 mmol/L,<5.2 mmol/L,<5.2 mmol/L,,mmol/L,<200 mg/dL,"High: heart disease risk; Causes: diet, genetics; Risk: heart attack, stroke."
Hormone,Cortisol (8 AM),170–635 nmol/L,170–635 nmol/L,,,nmol/L,6–23 µg/dL,"Low: adrenal insufficiency (Addison’s disease); Symptoms: fatigue, low BP. High: stress, Cushing’s syndrome; Symptoms: weight gain, high BP."
Hormone,Cortisol (4 PM),82–413 nmol/L,82–413 nmol/L,,,nmol/L,3–15 µg/dL,"Low: adrenal fatigue; High: Cushing's; Normal decrease expected in evening."
Kidney,Creatinine (serum),0.6–1.2 mg/dL,0.5–1.0 mg/dL,,,mg/dL,0.6–1.2 mg/dL,"High: kidney impairment; Symptoms: swelling, fatigue; Risk: kidney failure. Low: reduced muscle mass."
Enzyme,Creatine Kinase (CK) males,20–215 IU/L,,,,IU/L,20–215 IU/L,"High: muscle injury; Causes: exercise, heart attack; Risk: rhabdomyolysis."
Enzyme,Creatine Kinase (CK) females,,20–160 IU/L,,,IU/L,20–160 IU/L,"Same interpretation as males."
Hematology,Erythrocytes (RBC),4.5–5.5×10¹²/L,4.2–5.4×10¹²/L,4.0–5.5×10¹²/L,,10¹²/L,4.5–5.5 million/mm³,"Low: anemia; Symptoms: fatigue, dizziness; Causes: bleeding, deficiency. High: dehydration, smoking."
Iron,Ferritin (males),20–200 ng/mL,,,,ng/mL,20–200 ng/mL,"Low: iron deficiency; Symptoms: fatigue, hair loss. High: inflammation, hemochromatosis."
Iron,Ferritin (females),,15–150 ng/mL,,,ng/mL,15–150 ng/mL,"Same interpretation as males."
Hormone,FSH (males),1–10 IU/L,,,,IU/L,1–10 IU/L,"High: testicular failure; Low: pituitary disorder."
Hormone,FSH (females premenopause),,2–20 IU/L,,,IU/L,2–20 IU/L,"High: menopause; Low: PCOS."
Hormone,FSH (females postmenopause),,40–250 IU/L,,,IU/L,40–250 IU/L,"Expected high after menopause."
Hematology,Leukocytes - Total,3.5–12.0×10⁹/L,3.5–12.0×10⁹/L,5.0–13.0×10⁹/L,,×10⁹/L,3500–12000/mm³,"Low: infection risk; High: infection/inflammation; Symptoms: fever."
Hematology,Neutrophils,3000–8000/mm³,3000–8000/mm³,3000–8000/mm³,,/mm³,3000–8000/mm³,"Low: infection risk; High: bacterial infection."
Hematology,Lymphocytes,1500–3000/mm³,1500–3000/mm³,1500–3000/mm³,,/mm³,1500–3000/mm³,"High: viral infection; Low: immune deficiency."
Hematology,Monocytes,300–500/mm³,300–500/mm³,300–500/mm³,,/mm³,300–500/mm³,"High: chronic inflammation."
Hematology,Eosinophils,50–250/mm³,50–250/mm³,50–250/mm³,,/mm³,50–250/mm³,"High: allergy, parasites."
Lipids,LDL Cholesterol,<3.4 mmol/L,<3.4 mmol/L,<3.4 mmol/L,,mmol/L,<130 mg/dL,"High: major heart disease risk."
Hormone,LH (males),1–10 IU/L,1–10 IU/L,,,IU/L,1–9 IU/L,"High: testicular failure; Low: pituitary issue."
Hormone,LH (females follicular),,2–10 IU/L,,,IU/L,2–10 IU/L,"Low: pituitary issue; High: ovarian failure."
Hormone,LH (female mid-cycle),,15–65 IU/L,,,IU/L,15–65 IU/L,"Expected ovulation surge."
Hormone,LH (female luteal),,1–12 IU/L,,,IU/L,1–12 IU/L,"Low: irregular cycles."
Minerals,Magnesium (serum),0.65–1.05 mmol/L,0.65–1.05 mmol/L,,,mmol/L,1.3–2.1 mg/dL,"Low: cramps, palpitations; High: kidney failure."
Hematology,MCV,80–100 fL,80–100 fL,75–90 fL,,fL,80–100 fL,"Low: iron deficiency; High: B12 deficiency."
Kidney,Osmolality (serum),285–295 mOsm/kg,285–295 mOsm/kg,,,mOsm/kg,285–295 mOsm/kg,"Low: overhydration; High: dehydration."
Kidney,Osmolality (urine),38–1400 mOsm/kg,38–1400 mOsm/kg,,,mOsm/kg,38–1400 mOsm/kg,"Low: kidney damage."
Blood Gas,Oxygen saturation,94–99%,94–99%,94–99%,,%,94–99%,"Low: hypoxia; Causes: lung disease."
Hormone,Parathyroid hormone (PTH),10–65 ng/L,10–65 ng/L,,,ng/L,10–65 pg/mL,"High: hyperparathyroidism; Low: hypoparathyroidism."
Coagulation,PT (Prothrombin time),11–15 sec,11–15 sec,11–15 sec,,sec,11–15 sec,"High: liver disease, warfarin use."
Hematology,Reticulocytes,25–75×10⁹/L,25–75×10⁹/L,25–75×10⁹/L,,×10⁹/L,25–75K/mm³,"High: blood loss; Low: marrow failure."
Hematology,ESR,0–15 mm/hr,0–20 mm/hr,,,mm/hr,0–20 mm/hr,"High: inflammation, autoimmune disease."
Electrolytes,Sodium (serum),135–145 mmol/L,135–145 mmol/L,135–145 mmol/L,,mmol/L,135–145 mEq/L,"Low: confusion, seizures; High: dehydration."
Electrolytes,Potassium (adult),3.5–5.1 mmol/L,3.5–5.1 mmol/L,,,mmol/L,3.5–5.1 mEq/L,"Low: cramps, arrhythmia; High: cardiac arrest risk."
Hormone,Prolactin (male),2–18 ng/mL,,,,ng/mL,2–18 ng/mL,"High: infertility, low libido."
Hormone,Prolactin (female),2–30 ng/mL,,,,ng/mL,2–30 ng/mL,"High: irregular cycles, milk discharge."
Tumor Marker,PSA,0–4 µg/L,0–4 µg/L,,,µg/L,0–4 ng/mL,"High: prostate enlargement or cancer."
Protein,Total protein,65–85 g/L,65–85 g/L,,,g/L,6.5–8.5 g/dL,"Low: malnutrition; High: inflammation."
Thyroid,TSH (adult),0.4–4.8 mIU/L,0.4–4.8 mIU/L,,,mIU/L,0.4–4.8 mIU/L,"High: hypothyroidism; Low: hyperthyroidism."
Thyroid,Free T4,10–23 pmol/L,10–23 pmol/L,,,pmol/L,1.0–2.3 ng/dL,"Low: hypothyroidism; High: hyperthyroidism."
Thyroid,Free T3,3.5–7.8 pmol/L,3.5–7.8 pmol/L,,,pmol/L,230–420 pg/dL,"High: hyperthyroid symptoms."
Kidney,Urea (serum),2.9–8.2 mmol/L,2.9–8.2 mmol/L,,,mmol/L,8–23 mg/dL,"High: kidney dysfunction."
Kidney,BUN,7–20 mg/dL,7–20 mg/dL,,,mg/dL,7–20 mg/dL,"Same interpretation as Urea."
Kidney,Uric acid,210–420 µmol/L,155–390 µmol/L,,,µmol/L,2.0–7.0 mg/dL,"High: gout; Symptoms: joint pain."
Vitals,Body Temperature (Oral),36.5–37.5°C,36.5–37.5°C,36.5–37.5°C,36.5–37.5°C,°C,97.7–99.5°F,"Low: hypothermia; Causes: exposure, sepsis; Symptoms: shivering, confusion; Risk: severe hypothermia. High: fever; Causes: infection, inflammation; Symptoms: chills, sweating; Risk: >40°C emergency."
Vitals,Heart Rate (Pulse),60–100 bpm,60–100 bpm,70–120 bpm,100–160 bpm,bpm,60–100 bpm,"Low: bradycardia; Causes: athletic heart, drugs; Symptoms: dizziness; Risk: syncope. High: tachycardia; Causes: fever, dehydration, arrhythmia; Symptoms: palpitations; Risk: arrhythmia."
Vitals,Blood Pressure (Systolic/Diastolic),120/80 mmHg,120/80 mmHg,Varies by age,Varies by age,mmHg,120/80,"Low: hypotension → dizziness, syncope; High: hypertension → asymptomatic or headache; Causes: lifestyle, renal disease; Risk: stroke, MI if uncontrolled."
Vitals,Respiratory Rate,12–20/min,12–20/min,20–30/min,30–60/min,/min,12–20/min,"High: respiratory distress, infection; Low: respiratory depression; Risk: hypoventilation, respiratory failure."
Vitals,SpO2 (Oxygen Saturation),95–100%,95–100%,95–100%,95–100%,%,95–100%,"Low: hypoxia; Causes: lung disease, cardiac shunt; Symptoms: breathlessness; Risk: <92% may need oxygen."
Hematology,Hemoglobin,13–17 g/dL,12–15 g/dL,11–16 g/dL,,g/dL,,"Low: anemia; Causes: iron deficiency, bleeding, chronic disease; Symptoms: fatigue, pallor; Risk: severe anemia. High: polycythemia, dehydration."
Hematology,Hematocrit (PCV),40–52%,36–47%,32–45%,,%,, "Low: anemia; High: dehydration/polycythemia."
Hematology,RBC Count,4.5–5.9×10^12/L,4.1–5.1×10^12/L,4.0–5.5×10^12/L,,10^12/L,,"Low: anemia; High: polycythemia."
Hematology,WBC Count,4.0–11.0×10^9/L,4.0–11.0×10^9/L,5.0–13.0×10^9/L,,×10^9/L,4000–11000/mm³,"High: infection/inflammation; Symptoms: fever. Low: bone marrow suppression; Risk: infection."
Hematology,Neutrophils,1.5–8.0×10^9/L,1.5–8.0×10^9/L,1.5–8.0×10^9/L,,×10^9/L,,"Low: neutropenia → infection risk. High: bacterial infection."
Hematology,Lymphocytes,1.0–3.0×10^9/L,1.0–3.0×10^9/L,1.5–4.0×10^9/L,,×10^9/L,,"High: viral infection; Low: immunodeficiency."
Hematology,Platelet Count,150–400×10^9/L,150–400×10^9/L,150–400×10^9/L,,×10^9/L,150000–400000/mm³,"Low: bleeding risk; Causes: ITP, DIC, drugs. High: clotting risk; Causes: inflammation."
Hematology,MCV,80–100 fL,80–100 fL,75–90 fL,,fL,,"Low: microcytic anemia (iron deficiency). High: macrocytic anemia (B12/folate)."
Hematology,MCH,27–33 pg,27–33 pg,26–32 pg,,pg,,"Low: hypochromic anemia."
Hematology,MCHC,33–36 g/dL,33–36 g/dL,32–36 g/dL,,g/dL,,"Low: hypochromia."
Liver,AST (SGOT),10–40 U/L,10–40 U/L,10–40 U/L,,U/L,10–40,"High: liver injury, muscle injury; Symptoms: malaise, jaundice; Risk: monitor for acute liver failure."
Liver,ALT (SGPT),7–35 U/L,7–35 U/L,7–35 U/L,,U/L,7–35,"High: hepatocellular injury (hepatitis, toxins)."
Liver,ALP,44–147 U/L,44–147 U/L,150–400 U/L,,U/L,44–147,"High: cholestasis, bone disease."
Liver,GGT,9–48 U/L,9–48 U/L,,,U/L,9–48,"High: cholestatic liver disease, alcohol use."
Liver,Bilirubin (Total),1.7–10 µmol/L,1.7–10 µmol/L,1.7–10 µmol/L,1.7–10 µmol/L,µmol/L,0.1–0.5 mg/dL,"High: jaundice; Causes: hemolysis, liver disease; Symptoms: yellowing, dark urine; Risk: liver dysfunction."
Liver,Bilirubin (Direct),0–10 µmol/L,0–10 µmol/L,0–10 µmol/L,0–10 µmol/L,µmol/L,0–0.6 mg/dL,"High: obstructive jaundice; Causes: biliary obstruction."
Liver,Albumin (serum),35–50 g/L,35–50 g/L,35–50 g/L,,g/L,3.5–5.0 g/dL,"Low: malnutrition, liver disease, nephrotic syndrome; Symptoms: edema; Risk: poor healing."
Liver,Total Protein,60–80 g/L,60–80 g/L,60–80 g/L,,g/L,6.0–8.0 g/dL,"Low: malnutrition; High: chronic inflammation, gammopathy."
Kidney,Creatinine (serum),0.6–1.2 mg/dL,0.5–1.0 mg/dL,0.5–1.0 mg/dL,,mg/dL,0.6–1.2,"High: reduced renal function; Symptoms: fatigue, edema; Risk: renal failure."
Kidney,Urea (serum),2.9–8.2 mmol/L,2.9–8.2 mmol/L,2.5–7.1 mmol/L,,mmol/L,8–23 mg/dL,"High: renal dysfunction, dehydration."
Kidney,BUN,7–20 mg/dL,7–20 mg/dL,7–20 mg/dL,,mg/dL,7–20,"High: dehydration, renal failure."
Kidney,eGFR (estimated),>90 mL/min/1.73m²,>90 mL/min/1.73m²,>90 mL/min/1.73m²,,mL/min/1.73m²,">90","Low: reduced kidney function; staging CKD if persistent."
Kidney,Uric Acid (serum),210–420 µmol/L,155–390 µmol/L,120–360 µmol/L,,µmol/L,2.0–7.0 mg/dL,"High: gout; Symptoms: joint pain; Risk: urate nephropathy."
Electrolytes,Sodium (Na+),135–145 mmol/L,135–145 mmol/L,135–145 mmol/L,,mmol/L,135–145 mEq/L,"Low: hyponatremia → confusion, seizures; Causes: SIADH, fluids. High: hypernatremia → dehydration."
Electrolytes,Potassium (K+),3.5–5.1 mmol/L,3.5–5.1 mmol/L,3.4–4.7 mmol/L,,mmol/L,3.5–5.1 mEq/L,"Low: muscle cramps, weakness; Causes: diuretics; Risk: arrhythmia. High: dangerous arrhythmia; emergent if >6.0 mmol/L."
Electrolytes,Chloride (Cl-),96–106 mmol/L,96–106 mmol/L,96–106 mmol/L,,mmol/L,96–106 mEq/L,"Abnormal: acid-base or volume status issues."
Electrolytes,Bicarbonate (HCO3-),23–29 mmol/L,23–29 mmol/L,23–29 mmol/L,,mmol/L,23–29 mEq/L,"Low: metabolic acidosis; High: metabolic alkalosis."
